2015-09-18T13:49:29.319989502Z,2015-09-18T13:49:29.320011356Z,21854,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/_mapper,file,open,O_RDONLY,0000,36,4096,152
2015-09-18T13:49:29.320995153Z,2015-09-18T13:49:29.321049759Z,54606,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/_mapper,file,read,36,0,4096,36,152
2015-09-18T13:49:29.322241612Z,2015-09-18T13:49:29.322246239Z,4627,root,0,root,0,,0,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/_mapper,file,release,152
2015-09-18T13:49:29.416876356Z,2015-09-18T13:49:29.416909691Z,33335,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/_mapper,file,open,O_RDONLY,0000,36,4096,153
2015-09-18T13:49:29.417790958Z,2015-09-18T13:49:29.417794936Z,3978,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/_mapper,file,read,36,0,4096,36,153
2015-09-18T13:49:29.418338935Z,2015-09-18T13:49:29.418342262Z,3327,root,0,root,0,,0,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/_mapper,file,release,153
2015-09-18T13:49:29.43244862Z,2015-09-18T13:49:29.432480461Z,31841,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/registry.sqlite3,file,open,O_RDWR,0002,7168,4096,154
2015-09-18T13:49:29.433508579Z,2015-09-18T13:49:29.433512758Z,4179,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/registry.sqlite3,file,read,7168,0,4096,4096,154
2015-09-18T13:49:29.54332903Z,2015-09-18T13:49:29.543576388Z,247358,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/registry.sqlite3,file,read,7168,4096,4096,3072,154
2015-09-18T13:49:30.947944083Z,2015-09-18T13:49:30.947974363Z,30280,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,creat,O_WRONLY|O_CREAT|O_TRUNC,0664,155
2015-09-18T13:49:30.949581242Z,2015-09-18T13:49:30.949589633Z,8391,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,0,4096,4096,155
2015-09-18T13:49:30.950152069Z,2015-09-18T13:49:30.950159825Z,7756,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,4096,4096,4096,155
2015-09-18T13:49:30.950835807Z,2015-09-18T13:49:30.950843906Z,8099,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,8192,4096,4096,155
2015-09-18T13:49:30.95140278Z,2015-09-18T13:49:30.95141052Z,7740,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,12288,4096,4096,155
2015-09-18T13:49:30.952054552Z,2015-09-18T13:49:30.952062287Z,7735,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,16384,4096,4096,155
2015-09-18T13:49:30.95265661Z,2015-09-18T13:49:30.952673699Z,17089,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,20480,4096,4096,155
2015-09-18T13:49:30.953272942Z,2015-09-18T13:49:30.953280508Z,7566,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,24576,4096,4096,155
2015-09-18T13:49:30.953915851Z,2015-09-18T13:49:30.953923425Z,7574,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,28672,4096,4096,155
2015-09-18T13:49:30.954781396Z,2015-09-18T13:49:30.954787899Z,6503,fabio,1000,fabio,1000,/cvmfs/lsst.in2p3.fr/software/linux-x86_64/lsst-v10.1/Linux64/anaconda/2.1.0-4-g35ca374/bin/python2.7,17745,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,write,32768,859,859,155
2015-09-18T13:49:30.95667377Z,2015-09-18T13:49:30.956677608Z,3838,root,0,root,0,,0,/home/fabio/lsst/lsst_dm_stack_demo-10.1/output/config/processCcd.py,file,release,155
2015-09-18T13:50:28.685164224Z,2015-09-18T13:50:28.685170153Z,5929,root,0,root,0,,0,/home/fabio/lsst/lsst_dm_stack_demo-10.1/input/registry.sqlite3,file,release,154

